!$Name$$$bin?$$$$$RA$$$$$$Declination$$Period (s)$pdot$$$$$$$Dist (Kpc)$$$Age (yr)$
! note that if column labels are required, their specification must occur on
! the first line of the file.
!
!  ** TEST.DAT **
! an example data file for PONGO
1601-52  20    240.36      -52.824     .65801      0.25600E-15  0.80000      0.40725E+08 
1604-00  16    241.16     -0.41157     .42182      0.30607E-15  0.36000      0.21836E+08 
1607-13  20    241.98      -13.243     1.0184      0.23000E-15   1.8000      0.70154E+08 
1609-47  20    242.46      -47.114     .38238      0.63200E-15   5.0000      0.95860E+07 
1612+07  20    243.06       7.7503     1.2068      0.23570E-14  0.77000      0.81123E+07 
1612-29  20    243.19      -29.544     2.4776      0.25000E-14   1.4000      0.15702E+08 
1620-09  20    245.14      -9.0203     1.2764      0.30000E-14   2.6000      0.67413E+07 
1620-26   9    245.14      -26.416     .11076E-01  0.80000E-18   2.2000      0.21936E+09 
1620-42  20    245.08      -42.832     .36459      0.10220E-14   9.0000      0.56522E+07 
1630-59  20    247.70      -59.808     .52912      0.13680E-14   4.6000      0.61282E+07 
1633+24  20    248.33       24.415     .49051      0.11940E-15  0.88000      0.65089E+08 
1641-45  20    250.29      -45.894     .45505      0.20137E-13   5.3000      0.35804E+06 
1641-68  20    250.42      -68.440     1.7856      0.17000E-14   1.5000      0.16642E+08 
1642-03  16    250.60      -3.2086     .38769      0.17810E-14  0.17000      0.34489E+07 
1647-52  20    251.94      -52.299     .63506      0.18120E-14   5.8000      0.55529E+07 
1647-528 20    251.93      -52.846     .89053      0.20700E-14   5.4000      0.68163E+07 
1648-17  20    252.16      -17.072     .97339      0.30420E-14   1.0000      0.50698E+07 
1648-42  20    252.07      -42.667     .84408      0.00000E+00   14.000      0.00000E+00 
1649-23  20    252.49      -23.978     1.7037      0.00000E+00   2.3000      0.00000E+00 
1657-13  20    254.27      -13.012     .64096      0.62100E-15   2.1000      0.16353E+08 
1659-60  20    254.95      -60.212     .30632      0.91000E-15   1.9000      0.53334E+07 
1700-18  20    255.23      -18.702     .80434      0.17300E-14   1.7000      0.73665E+07 
1700-32  20    255.03      -32.856     1.2118      0.70000E-15   3.4000      0.27428E+08 
1701-75  20    255.32      -75.590     1.1910      0.18800E-14   1.3000      0.10038E+08 
1702-19  20    255.67      -19.026     .29899      0.41400E-14  0.74000      0.11442E+07 
1706-16  20    256.64      -16.620     .65305      0.63800E-14  0.81000      0.16218E+07 
1707-53  20    256.96      -53.777     .89922      0.15494E-13   3.6000      0.91953E+06 
1709-15  20    257.27      -15.101     .86880      0.11040E-14   2.0000      0.12469E+08 
1717-16  20    259.38      -16.509     1.5656      0.58200E-14   1.4000      0.42621E+07 
1717-29  20    259.35      -29.502     .62045      0.80000E-15   1.2000      0.12288E+08 
1718-02   3    259.59      -2.1577     .47772      0.87000E-16   2.4000      0.86999E+08 
1718-32  20    259.70      -32.084     .47716      0.70000E-15   3.7000      0.10800E+08 
1719-37  20    259.90      -37.152     .23617      0.10816E-13   2.5000      0.34596E+06 
1726-00  20    261.50     -0.90139E-01   .38601      0.11240E-14   1.3000      0.54412E+07 
1727-47  20    261.98      -47.706     .82972      0.16367E-12   4.1000       80320.     
1729-41  20    262.32      -41.445     .62798      0.12838E-13   6.1000      0.77502E+06 
1730-22  20    262.60      -22.445     .87168      0.00000E+00   1.3000      0.00000E+00 
1732-02  20    263.04      -2.1772     .83939      0.42000E-15   2.3000      0.31665E+08 
1732-07  20    263.09      -7.3825     .41933      0.00000E+00   2.6000      0.00000E+00 
1735-32  20    263.96      -32.150     .76850      0.00000E+00   1.5000      0.00000E+00 
1736-29  20    264.12      -29.050     .32288      0.78610E-14   3.6000      0.65077E+06 
1736-31  20    264.03      -31.483     .52944      0.00000E+00   12.000      0.00000E+00 
1737+13  20    264.46       13.225     .80305      0.14540E-14   1.8000      0.87507E+07 
1737-30  20    264.34      -30.237     .60656      0.46600E-12   3.5000       20623.     
1737-39  20    264.46      -39.436     .51221      0.18090E-14   5.1000      0.44862E+07 
1738-08  20    264.66      -8.6517     2.0431      0.22700E-14   2.6000      0.14260E+08 
1740-03  20    265.12      -3.6022     .44464      0.31700E-14   1.2000      0.22224E+07 
1740-13  20    265.20      -13.840     .40534      0.48100E-15   3.9000      0.13352E+08 
1742-30  20    265.67      -30.651     .36742      0.10700E-13   2.3000      0.54406E+06 
1745-12  20    266.37      -12.999     .39413      0.12120E-14   3.4000      0.51524E+07 
1745-56  20    266.38      -56.074     1.3323      0.21200E-14   2.0000      0.99572E+07 
1747-46  20    266.99      -46.944     .74235      0.12950E-14  0.66000      0.90825E+07 
1749-28  20    267.46      -28.100     .56255      0.81540E-14   1.0000      0.10931E+07 
1750-24  20    267.62      -24.967     .52833      0.00000E+00   19.000      0.00000E+00 
1753+52  20    268.31       52.028     2.3914      0.15680E-14   1.3000      0.24164E+08 
1753-24  20    268.44      -24.600     .67048      0.00000E+00   7.6000      0.00000E+00 
1754-24  20    268.65      -24.361     .23409      0.13000E-13   4.0000      0.28531E+06 
1756-22  20    269.10      -22.092     .46097      0.10800E-13   4.5000      0.67626E+06 
1757-23  20    269.25      -23.717     1.0308      0.00000E+00   6.1000      0.00000E+00 
1758-03  20    269.68      -3.9652     .92149      0.33160E-14   4.0000      0.44029E+07 
1758-23  20    269.56      -23.083     .41576      0.00000E+00   23.000      0.00000E+00 
1758-24  20    269.56      -24.883     .12483      0.00000E+00   6.4000      0.00000E+00 
1800-21  20    270.21      -21.620     .13358      0.13415E-12   5.2000       15776.     
1802+03  20    270.67       3.1038     .21871      0.99900E-15   2.8000      0.34687E+07 
1804-08  20    271.22      -8.8028     .16373      0.28680E-16   3.7000      0.90450E+08 
1804-12  20    271.00      -12.000     .52276      0.00000E+00   3.8000      0.00000E+00 
1804-20  20    271.21      -20.983     .91840      0.00000E+00   14.000      0.00000E+00 
1804-27  20    271.01      -27.261     .82777      0.12250E-13   8.9000      0.10706E+07 
1806-21  20    271.52      -21.167     .70241      0.00000E+00   9.1000      0.00000E+00 
1806-53  20    271.67      -53.646     .26105      0.38300E-15   1.6000      0.10799E+08 
1809-173 20    272.31      -17.317     1.2054      0.00000E+00   5.1000      0.00000E+00 
1809-175 20    272.42      -17.500     .53835      0.00000E+00   16.000      0.00000E+00 
1810+02  20    272.59       2.4355     .79390      0.35997E-14   3.5000      0.34944E+07 
1811+40  20    272.90       40.213     .93109      0.25530E-14   1.5000      0.57784E+07 
1813-17  20    273.27      -17.500     .78231      0.00000E+00   11.000      0.00000E+00 
1813-26  20    273.37      -26.849     .59289     -0.30000E-15   4.2000      0.00000E+00 
1813-36  20    273.43      -36.320     .38702      0.20465E-14   3.2000      0.29963E+07 
1814-23  20    273.50      -23.217     .62547      0.00000E+00   7.2000      0.00000E+00 
1815-14  20    273.81      -14.367     .29149      0.00000E+00   15.000      0.00000E+00 
1817-13  20    274.31      -13.833     .92146      0.00000E+00   19.000      0.00000E+00 
1818-04  16    274.56      -4.4847     .59807      0.63376E-14   1.5000      0.14952E+07 
1819-14  20    274.97      -14.067     .21477      0.00000E+00   11.000      0.00000E+00 
1819-22  20    274.99      -22.966     1.8743      0.60000E-15   3.9000      0.49493E+08 
1820-11  20    275.15      -11.200     .27982      0.00000E+00   11.000      0.00000E+00 
1820-31  20    275.13      -31.138     .28405      0.29200E-14   1.7000      0.15413E+07 
1821+05   3    275.27       5.8132     .75291      0.22500E-15   2.3000      0.53018E+08 
1821-11  20    275.47      -11.367     .43576      0.00000E+00   16.000      0.00000E+00 
1821-19  20    275.26      -19.791     .18933      0.52378E-14   6.8000      0.57272E+06 
1821-24  20    275.36      -24.897     .30543E-02  0.15500E-17   3.9000      0.31221E+08 
1822+00  20    275.67      0.43444E-01   .77895      0.87330E-15   1.7000      0.14132E+08 
1822-09  20    275.69      -9.6253     .76896      0.52320E-13  0.51000      0.23286E+06 
1822-14  20    275.58      -14.833     .27918      0.00000E+00   9.3000      0.00000E+00 
1823-11  20    275.77      -11.533     2.0931      0.00000E+00   10.000      0.00000E+00 
1823-13  20    275.83      -13.617     .10144      0.51000E-13   5.5000       31513.     
1824-09  20    276.02      -9.9667     .24575      0.00000E+00   11.000      0.00000E+00 
1826-17  20    276.70      -17.879     .30713      0.55900E-14   6.7000      0.87051E+06 
1828-10  20    277.08      -10.967     .40503      0.00000E+00   4.4000      0.00000E+00 
1828-60  20    277.19      -60.422     1.8894      0.27000E-15   1.2000      0.11088E+09 
1829-08  20    277.50      -8.4667     .64728      0.00000E+00   6.6000      0.00000E+00 
1829-10  20    277.37      -10.433     .33035      0.00000E+00   11.000      0.00000E+00 
1830-08  20    277.72      -8.4833     .85281E-01  0.90000E-14   8.5000      0.15013E+06 
1831-00   9    277.93     -0.22036     .52095      0.14300E-16   2.7000      0.57720E+09 
1831-03  20    277.77      -3.6819     .68668      0.41500E-13   7.1000      0.26216E+06 
1831-04  20    277.94      -4.4831     .29011      0.19700E-15   2.2000      0.23332E+08 
1832-06  20    278.13      -6.7667     .30582      0.00000E+00   10.000      0.00000E+00 
1834-04  20    278.65      -4.6667     .35424      0.00000E+00   5.4000      0.00000E+00 
1834-06  20    278.62      -6.9333     1.9058      0.00000E+00   6.7000      0.00000E+00 
1834-10  20    278.53      -10.179     .56271      0.11775E-13   8.8000      0.75716E+06 
1838-04  20    279.60      -4.4667     .18615      0.00000E+00   7.1000      0.00000E+00 
1839+09  20    279.89       9.1529     .38132      0.10916E-14   1.6000      0.55347E+07 
1839+56   3    279.96       56.649     1.6529      0.17000E-14  0.94000      0.15405E+08 
1839-04  20    279.93      -4.1000     1.8400      0.51000E-15   4.7000      0.57161E+08 
1841-04  20    280.45      -4.5833     .99102      0.00000E+00   2.5000      0.00000E+00 
1841-05  20    280.33      -5.6833     .25570      0.00000E+00   11.000      0.00000E+00 
1842+14   3    280.66       14.851     .37546      0.18660E-14   1.3000      0.31880E+07 
1842-02  20    280.58      -2.8500     .50772      0.00000E+00   9.1000      0.00000E+00 
1842-04  20    280.65      -4.5833     .16225      0.00000E+00   7.2000      0.00000E+00 
1844-04  20    281.19      -4.0922     .59774      0.51900E-13   3.8000      0.18248E+06 
1845-01  20    281.45      -1.4583     .65943      0.52000E-14   3.7000      0.20092E+07 
1845-19  20    281.34      -19.930     4.3082      0.23310E-13  0.53000      0.29283E+07 
1846-06  20    281.61      -6.6739     1.4513      0.45700E-13   4.5000      0.50316E+06 
1848+04  20    282.14       4.2432     .28470      0.16000E-17   3.3000      0.28192E+10 
1848+12  20    282.23       12.933     1.2053      0.11521E-13   2.3000      0.16576E+07 
1848+13  20    282.07       13.540     .34558      0.14926E-14   1.9000      0.36684E+07 
1849+00  20    282.48      0.47222     2.1803      0.00000E+00   19.000      0.00000E+00 
1851-14  20    282.97      -14.422     1.1466      0.41710E-14   4.4000      0.43555E+07 
1851-79  20    282.94      -79.931     1.2792      0.18600E-14   1.4000      0.10897E+08 
1852+10  20    283.02       10.783     .57234      0.00000E+00   8.4000      0.00000E+00 
1854+00  20    283.62      0.88917     .35693      0.00000E+00   2.3000      0.00000E+00 
1855+02  20    283.83       2.1167     .41581      0.00000E+00   12.000      0.00000E+00 
1855+09   9    283.81       9.6537     .53621E-02  0.20000E-19  0.35000      0.42479E+10 
1857-26  20    284.43      -26.082     .61221      0.16000E-15   1.3000      0.60624E+08 
1859+01  20    284.76       1.8718     .28822      0.00000E+00   2.8000      0.00000E+00 
1859+03  20    284.76       3.4460     .65545      0.74874E-14   11.000      0.13870E+07 
1859+07  20    284.83       7.2167     .64400      0.00000E+00   6.7000      0.00000E+00 
1900+01  20    285.24       1.5193     .72930      0.40322E-14   5.0000      0.28657E+07 
